, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
 ,0,0.001194,0.007819,0.014039,0.003216,0.007618,0.004626,0.001512,0.004502,0.0091,0,0.008687,0.002609,0.008394,0.014703,0.012559,0.015395,0.003701,0.016882,0.007202,0.004613,0.000843,0.001306,0.000264,0.005126,0.00091,7.46e-05,2.49e-06,2.49e-06,0.002783,0.000162,0.001726
а,0.016076,0,0.000741,0.002912,0.000798,0.001888,0.000962,0.000846,0.003815,0.000129,0.001348,0.004524,0.008085,0.003183,0.002616,9.95e-06,0.000609,0.002221,0.003457,0.003952,0.000418,8.21e-05,0.000776,4.23e-05,0.000821,0.000689,0.000356,0,0,0,0.000868,0.002378
б,0.000231,0.001236,7.46e-06,5.47e-05,2.49e-06,2.74e-05,0.002124,2.49e-06,0,0.000888,0,8.21e-05,0.001194,7.71e-05,0.000226,0.002305,0,0.00141,0.000149,2.49e-06,0.001176,0,6.22e-05,2.49e-06,2.49e-06,1.74e-05,0.000164,0.003808,0.000102,3.23e-05,0,0.00039
в,0.005302,0.005116,7.46e-06,3.48e-05,0,0.000256,0.006277,0,0.000597,0.002604,0,0.000196,0.000749,0.000107,0.000865,0.006011,0.000291,0.000933,0.001865,0.000244,0.000798,0,1.49e-05,3.73e-05,3.48e-05,0.001092,7.21e-05,0.002591,0.000127,0,0,0.000234
г,0.000761,0.000953,0,7.46e-06,0,0.001363,0.000142,0,0,0.000589,0,9.45e-05,0.001338,7.46e-06,0.000321,0.007665,0,0.001042,1.99e-05,1.99e-05,0.00047,0,0,0,3.48e-05,0,0,0,0,3.48e-05,0,0
д,0.001179,0.004223,3.73e-05,0.00098,2.98e-05,1.99e-05,0.004452,0.000972,7.21e-05,0.002141,0,0.000201,0.000898,7.96e-05,0.001746,0.004123,5.47e-05,0.000933,0.000353,0.000241,0.001333,0,7.21e-05,0.000201,1.74e-05,4.97e-05,0,0.000482,0.000624,2.49e-06,2.49e-05,0.000383
е,0.016491,1.74e-05,0.001107,0.001731,0.00331,0.003474,0.0014,0.000821,0.001074,9.45e-05,0.002149,0.001002,0.00521,0.003616,0.007503,0.000144,0.000766,0.007996,0.00432,0.004646,0.000159,0,0.000443,0.000291,0.001047,0.000836,0.000654,0,0,0,0.000172,0.000231
ж,0.000109,0.001522,7.46e-06,0,7.46e-06,0.000848,0.003504,4.97e-06,0,0.00183,0,0.000117,7.46e-06,2.49e-06,0.000826,3.23e-05,0,4.97e-06,9.95e-06,0,0.000167,0,0,0,9.95e-05,0,0,0,2.98e-05,0,0,0
з,0.001455,0.005665,0.000157,0.000828,0.000408,0.000791,0.000239,3.73e-05,2.98e-05,0.000505,0,0.000162,0.000251,0.000281,0.001664,0.00044,0,0.000338,0,1.74e-05,0.000425,0,0,2.49e-06,2.24e-05,0,0,0.000298,0.000112,0,0,0.000179
и,0.018324,4.97e-05,0.000445,0.003925,0.000458,0.001656,0.002241,0.000226,0.001811,0.000448,0.000915,0.002151,0.005648,0.002718,0.003037,0.000109,0.000167,0.000629,0.0047,0.003974,7.46e-06,2.24e-05,0.001644,0.0009,0.000796,0.000547,0.000187,0,0,0,0.000288,0.001109
й,0.008108,0,0,4.97e-06,4.97e-06,0.000196,9.95e-06,0,0,0,0,0.000497,0.000333,3.98e-05,0.000321,4.97e-06,5.47e-05,2.49e-06,0.000286,0.00055,0,0,0,2.74e-05,0.000112,0.000129,0,0,0,0,0,0
к,0.004392,0.007277,0,9.95e-05,0,0,0.000395,4.48e-05,2.49e-06,0.002355,0,9.95e-06,0.000958,0,0.000634,0.008043,0,0.001766,0.000632,0.000532,0.001539,0,0,0,0,4.97e-06,0,0,2.49e-06,7.46e-06,2.49e-06,0
л,0.007929,0.005633,2.24e-05,5.22e-05,0.000157,5.97e-05,0.004158,0.000373,1.49e-05,0.008108,0,0.00042,0.000167,1.99e-05,0.000311,0.005797,9.70e-05,0,0.001651,0.000142,0.001681,1.49e-05,0,0,0.000127,2.49e-06,0,0.000783,0.004395,0,0.000826,0.001567
м,0.007904,0.002477,0.000527,0,2.98e-05,2.49e-06,0.003837,0,2.49e-06,0.004479,0,0.000102,0.000179,3.48e-05,0.0015,0.003738,8.21e-05,9.70e-05,0.000109,4.97e-06,0.002161,3.48e-05,0,3.73e-05,4.73e-05,0,3.73e-05,0.000843,6.22e-05,0.000137,0,0.000458
н,0.004101,0.008645,4.97e-06,1.24e-05,0.000139,0.000172,0.008481,2.49e-06,2.24e-05,0.007456,0,0.00043,0.000236,0,0.002216,0.008846,0,4.97e-05,0.000492,0.000816,0.002984,0,2.49e-06,0.000219,0.000162,2.49e-06,0.000204,0.003345,0.001109,0.000172,0.000159,0.00151
о,0.019399,0,0.004007,0.005991,0.004738,0.004521,0.00189,0.001853,0.001515,0.000768,0.003959,0.002305,0.0067,0.005598,0.005452,0.000147,0.001194,0.004855,0.006183,0.007033,0.000311,5.47e-05,0.000473,5.97e-05,0.001644,0.000669,0.000246,0,0,0.000172,0.000196,0.000597
п,3.73e-05,0.001012,0,0,0,0,0.001808,0,0,0.000754,0,0.000114,0.000853,0,0.000144,0.008881,1.24e-05,0.006703,2.49e-06,9.70e-05,0.000781,0,0,4.97e-06,1.49e-05,4.97e-06,0,0.000291,5.47e-05,0,2.49e-06,0.000226
р,0.002664,0.007011,0.000154,0.000274,0.000119,0.000376,0.005544,0.000366,7.71e-05,0.004653,0,0.000229,0.000306,0.000204,0.00098,0.006628,0.000104,8.46e-05,0.000139,0.00048,0.002358,7.46e-06,0.000132,4.73e-05,7.71e-05,0.000182,9.95e-06,0.001614,0.000575,2.49e-06,0.000117,0.000821
с,0.004176,0.001778,9.70e-05,0.00147,2.49e-05,0.000311,0.002674,4.73e-05,7.46e-06,0.001808,0,0.003639,0.003574,0.000863,0.001052,0.002283,0.001726,0.000122,0.000838,0.010993,0.000778,0,0.000231,5.47e-05,0.000303,6.47e-05,2.49e-06,0.000259,0.003303,0.000264,0.000179,0.003579
т,0.00522,0.005208,2.74e-05,0.002669,2.49e-06,0.000122,0.006663,0,0,0.003885,0,0.000709,0.000808,2.49e-05,0.001079,0.012452,0.000142,0.002291,0.001191,9.70e-05,0.001263,1.24e-05,2.49e-05,3.98e-05,9.70e-05,3.48e-05,1.49e-05,0.001127,0.005526,0,9.20e-05,0.000594
у,0.006772,3.48e-05,0.000495,0.000721,0.001112,0.002069,0.000293,0.001059,0.000239,0.000152,0.000112,0.00098,0.00186,0.001054,0.000505,1.24e-05,0.000676,0.000269,0.001161,0.001559,0,1.99e-05,0.000403,9.95e-06,0.000885,0.000863,0.000216,0,0,9.95e-06,0.001057,4.73e-05
ф,4.73e-05,0.000109,0,0,0,0,0.00041,0,0,0.000164,0,0,1.24e-05,2.49e-06,0,0.000102,0,2.98e-05,7.46e-06,2.49e-06,8.95e-05,1.74e-05,0,0,0,0,0,7.46e-06,0,4.23e-05,0,7.46e-06
х,0.003106,0.000465,0,0.000231,0,0,3.48e-05,0,0,0.000216,0,0,0.000154,5.47e-05,0.000199,0.002024,0,0.000112,3.23e-05,0,0.000129,2.49e-06,0,0,0,7.46e-06,0,0,0,7.46e-06,0,0
ц,0.000323,0.000567,0,4.23e-05,0,0,0.000711,0,0,8.95e-05,0,9.95e-06,0,0,0,0.000214,0,0,0,0,0.000112,0,0,0,0,0,0,0.000157,0,0,0,0
ч,8.95e-05,0.002084,0,9.95e-06,0,0,0.003116,0,0,0.00197,0,0.000249,3.23e-05,2.49e-06,0.000592,6.71e-05,0,3.23e-05,0,0.002999,0.000535,0,0,0,0,0.000164,0,0,0.000269,0,0,0
ш,5.22e-05,0.000982,0,2.24e-05,0,0,0.002169,0,0,0.001763,0,0.000629,0.000522,2.98e-05,0.000199,0.000147,1.24e-05,0,0,7.21e-05,0.000264,0,0,0,0,0,0,0,0.000348,0,0,0
щ,2.98e-05,0.000425,0,0,0,0,0.001186,0,0,0.00088,0,0,0,0,6.96e-05,2.49e-06,0,2.49e-06,0,0,7.71e-05,0,0,0,0,0,0,0,8.95e-05,0,0,0
ы,0.004683,0,0.000159,0.000816,7.96e-05,8.70e-05,0.00102,1.24e-05,9.70e-05,7.46e-06,0.001967,0.000139,0.00198,0.001487,0.000214,0,0.000147,0.000251,0.000634,0.000714,0,0,0.000751,2.49e-06,0.000174,0.000555,1.24e-05,0,0,0,0,4.97e-06
ь,0.010038,0,6.71e-05,2.49e-06,4.97e-05,1.49e-05,0.000336,0,0.000157,4.73e-05,0,0.001064,0,0.000607,0.001296,1.99e-05,0,0,0.000918,0.000117,0,0,0,7.21e-05,0.000567,0.00052,4.48e-05,0,0,0,0.00047,0.000279
э,0.000201,0,2.49e-06,0,2.24e-05,4.48e-05,0,0,0,0,0.000134,5.22e-05,3.23e-05,3.48e-05,0.000229,0,0,0.000249,0,0.002654,0,2.49e-06,7.46e-06,0,0,4.97e-06,0,0,0,0,0,0
ю,0.002271,0,0.000219,0,7.46e-06,0.000433,2.49e-06,9.95e-06,9.95e-06,0,4.97e-06,9.95e-06,7.46e-06,6.22e-05,0.000154,0,0,8.46e-05,0.000134,0.000368,0,7.46e-06,1.49e-05,2.49e-06,0.000134,1.49e-05,0.000381,0,0,0,3.23e-05,0
я,0.010368,0,9.95e-06,0.000517,0.000114,0.000418,0.000104,0.000192,0.000266,5.97e-05,6.22e-05,0.000147,0.000768,0.000358,0.000532,0,6.96e-05,7.21e-05,0.000699,0.001099,0,0,0.000179,3.73e-05,8.21e-05,2.49e-06,0.000179,0,0,0,8.70e-05,0.000117
