,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я,ё
а,0.000216,0.001688,0.005255,0.001143,0.002615,0.001512,0.001357,0.004560,0.001423,0.000950,0.008096,0.009094,0.004906,0.007525,0.001123,0.003047,0.004015,0.005657,0.005919,0.000654,0.000171,0.001441,0.000280,0.001497,0.001133,0.000252,0.000000,0.000000,0.000000,0.000232,0.000726,0.002261,0.000000
б,0.001398,0.000031,0.000041,0.000005,0.000036,0.002508,0.000018,0.000015,0.001021,0.000000,0.000155,0.000906,0.000031,0.000303,0.002581,0.000015,0.001846,0.000160,0.000018,0.001645,0.000000,0.000046,0.000015,0.000000,0.000023,0.000109,0.000092,0.005020,0.000099,0.000031,0.000003,0.000499,0.000000
в,0.007739,0.000244,0.000476,0.000392,0.000743,0.006179,0.000076,0.000664,0.004817,0.000000,0.000888,0.000782,0.000535,0.001736,0.008857,0.000840,0.001016,0.005283,0.000540,0.000850,0.000010,0.000074,0.000064,0.000219,0.002085,0.000064,0.000013,0.003159,0.000252,0.000132,0.000008,0.000453,0.000000
г,0.001028,0.000020,0.000132,0.000013,0.001522,0.000321,0.000000,0.000059,0.000952,0.000000,0.000109,0.001583,0.000043,0.000535,0.010198,0.000115,0.000878,0.000099,0.000051,0.000988,0.000000,0.000008,0.000000,0.000028,0.000023,0.000000,0.000000,0.000000,0.000000,0.000005,0.000000,0.000005,0.000000
д,0.005270,0.000071,0.001390,0.000061,0.000097,0.005046,0.000033,0.000112,0.002553,0.000000,0.000412,0.000601,0.000140,0.002872,0.004180,0.000204,0.001629,0.000552,0.000372,0.002065,0.000000,0.000043,0.000257,0.000048,0.000089,0.000000,0.000025,0.000932,0.000769,0.000010,0.000061,0.000420,0.000010
е,0.000181,0.002821,0.004111,0.004661,0.004124,0.001792,0.001319,0.002075,0.001578,0.002174,0.002383,0.006981,0.005624,0.008699,0.001410,0.003722,0.006708,0.007648,0.006471,0.000695,0.000023,0.001209,0.000715,0.002070,0.000916,0.000947,0.000000,0.000000,0.000000,0.000173,0.000491,0.000328,0.000005
ж,0.001214,0.000046,0.000048,0.000020,0.000878,0.004241,0.000020,0.000005,0.001925,0.000000,0.000125,0.000010,0.000031,0.001387,0.000084,0.000038,0.000020,0.000056,0.000084,0.000216,0.000000,0.000005,0.000193,0.000018,0.000000,0.000000,0.000000,0.000000,0.000176,0.000018,0.000000,0.000005,0.000000
з,0.007121,0.000219,0.001217,0.000336,0.000983,0.000611,0.000109,0.000109,0.000471,0.000000,0.000262,0.000288,0.000260,0.001973,0.000906,0.000181,0.000257,0.000227,0.000178,0.000379,0.000000,0.000025,0.000015,0.000081,0.000020,0.000000,0.000056,0.000494,0.000176,0.000018,0.000008,0.000362,0.000000
и,0.000328,0.001690,0.006902,0.001067,0.003170,0.002976,0.000611,0.003335,0.002054,0.001639,0.004389,0.005927,0.003702,0.005529,0.001637,0.003085,0.001589,0.005896,0.005201,0.000700,0.000519,0.002823,0.001169,0.003083,0.000621,0.000377,0.000000,0.000000,0.000000,0.000249,0.000321,0.001067,0.000000
й,0.000137,0.000468,0.000659,0.000247,0.000670,0.000127,0.000227,0.000237,0.000524,0.000000,0.000766,0.000122,0.000344,0.001102,0.000440,0.000894,0.000326,0.001324,0.000810,0.000183,0.000018,0.000115,0.000074,0.000303,0.000224,0.000000,0.000000,0.000000,0.000000,0.000033,0.000013,0.000061,0.000000
к,0.008951,0.000420,0.000764,0.000132,0.000196,0.000692,0.000209,0.000112,0.005305,0.000000,0.000262,0.000636,0.000168,0.001230,0.012418,0.000420,0.002452,0.000608,0.000850,0.002594,0.000005,0.000066,0.000043,0.000178,0.000051,0.000003,0.000000,0.000003,0.000000,0.000048,0.000003,0.000025,0.000000
л,0.005797,0.000346,0.000779,0.000433,0.000331,0.004539,0.000303,0.000171,0.008974,0.000000,0.001130,0.000076,0.000150,0.001069,0.008075,0.000782,0.000155,0.002462,0.000570,0.001637,0.000015,0.000076,0.000000,0.000412,0.000033,0.000020,0.000000,0.000774,0.004531,0.000046,0.000922,0.002123,0.000000
м,0.002485,0.000356,0.000858,0.000270,0.000418,0.003686,0.000125,0.000221,0.004992,0.000000,0.000652,0.000527,0.000232,0.002296,0.004122,0.001013,0.000265,0.001003,0.000392,0.002699,0.000013,0.000115,0.000033,0.000367,0.000051,0.000010,0.000000,0.000883,0.000074,0.000053,0.000005,0.000519,0.000000
н,0.010909,0.000267,0.000415,0.000120,0.000596,0.010972,0.000061,0.000150,0.008898,0.000000,0.000827,0.000033,0.000109,0.003852,0.011260,0.000463,0.000155,0.000810,0.000458,0.003353,0.000008,0.000064,0.000298,0.000293,0.000015,0.000084,0.000000,0.004560,0.001695,0.000033,0.000196,0.001533,0.000000
о,0.000193,0.005743,0.011975,0.006247,0.007082,0.003307,0.003027,0.003009,0.002625,0.003455,0.003579,0.007609,0.006214,0.008460,0.001642,0.003770,0.008279,0.008531,0.008707,0.000848,0.000224,0.000937,0.000140,0.002902,0.001207,0.000298,0.000000,0.000000,0.000000,0.000244,0.001446,0.000909,0.000003
п,0.001945,0.000003,0.000015,0.000000,0.000003,0.002704,0.000003,0.000003,0.001181,0.000000,0.000311,0.000827,0.000008,0.000168,0.010769,0.000028,0.007217,0.000059,0.000081,0.000970,0.000000,0.000000,0.000043,0.000046,0.000018,0.000003,0.000000,0.000318,0.000153,0.000000,0.000000,0.000272,0.000000
р,0.007872,0.000112,0.000468,0.000229,0.000423,0.007006,0.000285,0.000056,0.005662,0.000000,0.000504,0.000069,0.000193,0.000799,0.008780,0.000249,0.000015,0.000443,0.001235,0.003531,0.000025,0.000247,0.000038,0.000102,0.000410,0.000038,0.000000,0.002131,0.000652,0.000005,0.000153,0.001309,0.000000
с,0.002149,0.000255,0.002808,0.000117,0.000448,0.004531,0.000084,0.000117,0.001942,0.000000,0.004519,0.002973,0.000899,0.001527,0.002989,0.001741,0.000209,0.001064,0.012683,0.001046,0.000013,0.000362,0.000031,0.000316,0.000107,0.000005,0.000046,0.000591,0.003696,0.000028,0.000242,0.004618,0.000277
т,0.007403,0.000351,0.003060,0.000140,0.000453,0.005837,0.000206,0.000143,0.004180,0.000000,0.000891,0.000331,0.000163,0.001591,0.014990,0.000606,0.003075,0.001639,0.000456,0.001876,0.000003,0.000074,0.000115,0.000476,0.000018,0.000013,0.000015,0.001741,0.006647,0.000059,0.000061,0.000675,0.000000
у,0.000140,0.001125,0.001586,0.001769,0.002828,0.000270,0.002108,0.000540,0.000807,0.000097,0.001892,0.001820,0.001331,0.001339,0.000430,0.001617,0.001067,0.002309,0.002029,0.000171,0.000056,0.000682,0.000059,0.001464,0.000876,0.000206,0.000000,0.000000,0.000000,0.000041,0.001324,0.000112,0.000000
ф,0.000099,0.000000,0.000000,0.000003,0.000005,0.000125,0.000000,0.000003,0.000186,0.000000,0.000000,0.000015,0.000003,0.000005,0.000517,0.000020,0.000056,0.000005,0.000046,0.000028,0.000003,0.000000,0.000000,0.000003,0.000003,0.000000,0.000000,0.000003,0.000071,0.000000,0.000000,0.000005,0.000000
х,0.000792,0.000211,0.000804,0.000127,0.000239,0.000181,0.000056,0.000165,0.000728,0.000000,0.000423,0.000418,0.000224,0.000636,0.002625,0.000624,0.000420,0.000733,0.000303,0.000647,0.000005,0.000071,0.000023,0.000150,0.000069,0.000005,0.000008,0.000000,0.000000,0.000023,0.000005,0.000056,0.000000
ц,0.000832,0.000018,0.000214,0.000003,0.000025,0.001036,0.000003,0.000013,0.000173,0.000000,0.000374,0.000003,0.000041,0.000043,0.000280,0.000051,0.000018,0.000092,0.000043,0.000242,0.000003,0.000005,0.000000,0.000003,0.000000,0.000000,0.000000,0.000412,0.000000,0.000003,0.000003,0.000010,0.000000
ч,0.002497,0.000025,0.000092,0.000015,0.000028,0.003829,0.000008,0.000020,0.001922,0.000000,0.000532,0.000061,0.000015,0.000776,0.000140,0.000135,0.000132,0.000084,0.003844,0.000911,0.000003,0.000041,0.000003,0.000059,0.000211,0.000000,0.000000,0.000000,0.000354,0.000008,0.000000,0.000031,0.000000
ш,0.001219,0.000003,0.000033,0.000000,0.000003,0.002620,0.000000,0.000003,0.002917,0.000003,0.000532,0.000476,0.000033,0.000514,0.000239,0.000059,0.000003,0.000023,0.000043,0.000354,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000326,0.000003,0.000000,0.000000,0.000000
щ,0.000484,0.000003,0.000005,0.000000,0.000000,0.001469,0.000000,0.000000,0.000748,0.000000,0.000000,0.000000,0.000005,0.000038,0.000010,0.000000,0.000008,0.000008,0.000000,0.000094,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000
ъ,0.000000,0.000000,0.000003,0.000000,0.000000,0.000132,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000109,0.000000
ы,0.000051,0.000405,0.001693,0.000252,0.000341,0.002131,0.000064,0.000196,0.000608,0.002052,0.000802,0.002963,0.001685,0.001161,0.000321,0.000832,0.000433,0.001382,0.000871,0.000140,0.000005,0.001527,0.000102,0.000300,0.000593,0.000018,0.000000,0.000000,0.000000,0.000046,0.000000,0.000046,0.000000
ь,0.000117,0.000766,0.001365,0.000305,0.000479,0.001309,0.000115,0.000418,0.001240,0.000000,0.002390,0.000209,0.000527,0.002640,0.000708,0.001028,0.000249,0.002062,0.000748,0.000247,0.000010,0.000135,0.000143,0.000484,0.000463,0.000031,0.000000,0.000000,0.000000,0.000097,0.000446,0.000960,0.000013
э,0.000000,0.000000,0.000000,0.000008,0.000008,0.000000,0.000000,0.000005,0.000000,0.000025,0.000051,0.000020,0.000000,0.000003,0.000000,0.000005,0.000000,0.000005,0.001601,0.000000,0.000003,0.000020,0.000000,0.000005,0.000003,0.000000,0.000000,0.000000,0.000000,0.000005,0.000000,0.000000,0.000000
ю,0.000066,0.000461,0.000344,0.000219,0.000479,0.000084,0.000153,0.000122,0.000372,0.000003,0.000456,0.000130,0.000181,0.000453,0.000199,0.000489,0.000193,0.000578,0.000616,0.000094,0.000028,0.000092,0.000023,0.000260,0.000064,0.000288,0.000000,0.000000,0.000000,0.000025,0.000059,0.000038,0.000000
я,0.000107,0.000484,0.001662,0.000369,0.001102,0.000262,0.000288,0.000698,0.000863,0.000051,0.001118,0.001232,0.000932,0.002189,0.000672,0.001036,0.000351,0.001617,0.002042,0.000232,0.000041,0.000463,0.000066,0.000588,0.000079,0.000135,0.000000,0.000000,0.000000,0.000066,0.000066,0.000145,0.000000
ё,0.000000,0.000015,0.000015,0.000013,0.000003,0.000020,0.000000,0.000008,0.000013,0.000000,0.000015,0.000010,0.000008,0.000033,0.000010,0.000036,0.000005,0.000015,0.000025,0.000005,0.000000,0.000005,0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000
