 ;à;á;â;ã;ä;å;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;û;ü;ý;þ;ÿ
à;0.0003861785221616343;0.001583703266364779;0.005820527245080401;0.0017192370746234296;0.0032676644182907514;0.00153171769607379;0.0015335743235841822;0.005191130519057353;0.0015707068737920316;0.0009060342250715265;0.006516762561477579;0.010870554073347926;0.004093863660415402;0.007888810291657616;0.0014723056157412307;0.002712532792683402;0.0037336779233992624;0.0063292431829279384;0.00640536491085403;0.0005551316256073493;0.0007129449639907094;0.001277359727150021;0.00015781333838336015;0.0012977826297643383;0.0012755030996396287;0.00028035075406926337;0.0;0.0;0.00034718934444339235;0.0009283137551962362;0.003509025994641773
á;0.0013683344751592521;3.527592269745698e-05;5.941208033255912e-05;2.2279530124709668e-05;2.0422902614317197e-05;0.0023597735657088325;9.283137551962363e-06;3.713255020784945e-06;0.0009041775975611341;0.0;0.000302630284193973;0.0008967510875195642;8.169161045726879e-05;0.0003156266767667203;0.00270324965513144;5.569882531177417e-06;0.0014258899279814188;9.654463054040857e-05;1.1139765062354834e-05;0.001383187495242392;0.0;5.7555452822166645e-05;7.42651004156989e-06;3.34192951870645e-05;7.42651004156989e-06;0.00019308926108081714;0.00422754084116366;0.00013924706327943543;3.34192951870645e-05;7.42651004156989e-06;0.0005588448806281342
â;0.006986489321606874;0.0002487880863925913;0.0004641568775981181;0.0004121713073071289;0.000707375081459532;0.005126148556193617;2.970604016627956e-05;0.0007593606517505212;0.0041978348009973805;0.0;0.0007333678666050266;0.0012959260022539457;0.00034904597195378485;0.002114698734337026;0.00876328184905247;0.0010619909359444943;0.0008020630844895482;0.004247963743777977;0.0007946365744479783;0.001087983721089989;1.670964759353225e-05;7.983498294687631e-05;7.240847290530643e-05;0.00023950494884062895;0.001548427343667322;9.283137551962363e-06;0.003154410140156811;0.00021165553618474186;0.00033976283440182245;5.569882531177417e-06;0.00017266635846649995
ã;0.0012402271769421716;4.270243273902687e-05;0.00016523984842493005;1.2996392572747307e-05;0.0010991234861523437;0.0006980919439075697;0.0;7.612172792609138e-05;0.0010304282682678221;0.0;0.00018751937854963972;0.0019271793557873865;5.012894278059676e-05;0.0004437339749838009;0.010766582932765948;9.840125805080105e-05;0.0016282623266141985;0.00015595671087296768;4.8272315270204286e-05;0.0009617330503833007;7.42651004156989e-06;3.713255020784945e-06;0.0;3.34192951870645e-05;1.2996392572747307e-05;0.0;3.713255020784945e-06;0.0;2.0422902614317197e-05;1.1139765062354834e-05;9.283137551962363e-06
ä;0.004799382114364542;9.46880030300161e-05;0.001175245214078435;9.283137551962362e-05;5.569882531177418e-05;0.005111295536110476;2.2279530124709668e-05;5.198557029098923e-05;0.0033289331261337034;0.0;0.0003360495793810375;0.000742651004156989;0.0001485302008313978;0.002071996301597999;0.004218257703611697;0.00023764832133023648;0.0024581748237596335;0.00046044362257733316;0.00038803514967202673;0.0019383191208497412;3.34192951870645e-05;6.498196286373654e-05;0.00019494588859120962;8.169161045726879e-05;0.00013182055323786553;0.0;0.0007797835543648385;0.0009134607351130964;2.0422902614317197e-05;1.8566275103924726e-05;0.00044002071996301597
å;0.00019494588859120962;0.002196390344794295;0.003442187404267644;0.004545024145440773;0.0037243947858473;0.002047860143962897;0.0013367718074825802;0.0019643119059952357;0.0014481694581061286;0.0027218159302353647;0.0021833939522215478;0.00745621608173617;0.00553460660847996;0.009442807517856115;0.0016115526790206661;0.003139557120073671;0.008540486547805374;0.006045179173837891;0.00505374008328831;0.0005829810382632363;6.869521788452148e-05;0.0014277465554918113;0.00033419295187064505;0.0015614237362400693;0.0009635896778936933;0.0007723570443232686;0.0;0.0;0.0002896338916212257;0.0004140279348175214;0.0006108304509191235
æ;0.0015911297764063489;6.6838590374129e-05;2.970604016627956e-05;3.34192951870645e-05;0.0007556473967297363;0.0044187734747340845;1.485302008313978e-05;9.283137551962363e-06;0.0013144922773578706;0.0;0.00011325427813394082;1.8566275103924725e-06;2.970604016627956e-05;0.0012439404319629565;5.7555452822166645e-05;1.485302008313978e-05;0.0;3.1562667676672035e-05;1.2996392572747307e-05;0.0002283651837782741;0.0;5.569882531177417e-06;0.0;5.941208033255912e-05;0.0;0.0;0.0;4.0845805228634394e-05;1.8566275103924726e-05;2.4136157635102143e-05;1.2996392572747307e-05
ç;0.006461063736165804;0.00020051577112238704;0.0009765860704664406;0.0005625581356489192;0.0008689016748636771;0.00025807122394455367;0.0002079422811639569;0.00011511090564433329;0.0004233110723694837;1.8566275103924725e-06;0.00033790620689143;0.00024136157635102143;0.00034718934444339235;0.0019067564531730693;0.0009041775975611341;0.00019123263357042467;0.00023764832133023648;0.00034161946191221495;7.240847290530643e-05;0.0003304796968498601;3.713255020784945e-06;5.569882531177417e-06;1.2996392572747307e-05;4.641568775981181e-05;2.970604016627956e-05;1.8566275103924725e-06;0.0006312533535334406;0.0013107790223370855;3.34192951870645e-05;0.000133677180748258;0.0006126870784295159
è;0.00038803514967202673;0.0014240333004710264;0.00524868597187952;0.001281072982170806;0.0029798871541799185;0.003269521045801144;0.0006126870784295159;0.00254543631674808;0.001992161318651123;0.00168953103445715;0.0031933993178750526;0.00612687078429516;0.003936050322032042;0.005701703084415283;0.002070139674087607;0.002562145964341612;0.0014351730655333813;0.005352657112461498;0.004713977248886488;0.0005551316256073493;0.00014481694581061286;0.002138834891972128;0.0017303768396857843;0.0019661685335056285;0.0005866942932840213;0.00013739043576904296;0.0;3.713255020784945e-06;0.0002562145964341612;0.00034904597195378485;0.0020552866540044673
é;0.00020051577112238704;0.0004140279348175214;0.0007389377491362041;0.000373182129588887;0.0007185148465218868;0.00012625067070668814;0.0001225374156859032;0.0001615265934041451;0.0006015473133671611;1.8566275103924725e-06;0.0008020630844895482;0.0004140279348175214;0.00046044362257733316;0.0009654463054040857;0.0006256834710022633;0.0008484787722493599;0.0004158845623279138;0.0017359467222169617;0.0006498196286373654;0.0002469314588821988;5.941208033255912e-05;5.012894278059676e-05;5.941208033255912e-05;0.00034904597195378485;0.0001893760060600322;1.1139765062354834e-05;0.0;0.0;6.869521788452148e-05;1.1139765062354834e-05;9.283137551962362e-05
ê;0.009021353072997024;0.000644249746106188;0.0006219702159814783;0.0002097989086743494;0.00029891702917318806;0.0006479630011269729;0.00016709647593532253;9.46880030300161e-05;0.003297370458457031;1.8566275103924725e-06;0.00044930385751497837;0.0004957195452747902;0.00023022181128866658;0.0032156788479997624;0.010191028404544281;0.0003936050322032042;0.0021351216369513435;0.0006238268434918707;0.0007240847290530643;0.001914182963214639;2.5992785145494614e-05;5.012894278059676e-05;3.1562667676672035e-05;0.00015595671087296768;2.784941265588709e-05;3.713255020784945e-06;0.0;0.0;9.097474800923115e-05;2.2279530124709668e-05;7.42651004156989e-05
ë;0.007747706600867788;0.0004158845623279138;0.0008076329670207255;0.0004660135051085106;0.0008076329670207255;0.004817948389468466;0.0004307375824110536;0.00019123263357042467;0.007957505509542138;1.8566275103924725e-06;0.001858484137902865;0.00026364110647573107;0.0001281072982170806;0.0011046933686835211;0.008538629920294982;0.0009246005001754513;0.0003583291095057472;0.00237276995828158;0.00036946887456810204;0.0015447140886465371;3.527592269745698e-05;2.970604016627956e-05;5.569882531177417e-06;0.0006683859037412901;7.42651004156989e-05;5.569882531177417e-06;0.0014425995755749511;0.004095720287925794;9.654463054040857e-05;0.000978442697976833;0.002073852929108392
ì;0.0033493560287480204;0.0002952037741524031;0.0008169161045726879;0.0004455906024941934;0.00036018573701613964;0.0033493560287480204;0.00012068078817551071;0.00019865914361199457;0.004799382114364542;0.0;0.0007092317089699245;0.00029149051913161816;0.00027292424402769347;0.0020292938688589723;0.004778959211750224;0.0010304282682678221;0.0002525013414133763;0.0010731307010068492;0.0003304796968498601;0.002794224403140671;5.198557029098923e-05;9.283137551962362e-05;4.641568775981181e-05;0.00046972676012929556;8.169161045726879e-05;5.569882531177417e-06;0.0007370811216258115;2.784941265588709e-05;7.983498294687631e-05;7.612172792609138e-05;0.0005922641758151988
í;0.012220322273403254;0.0003434760894226074;0.0005532749980969568;0.0003434760894226074;0.0015335743235841822;0.010358124880479604;5.941208033255912e-05;0.00021165553618474186;0.00817658755576845;0.0;0.0005198557029098923;3.898917771824192e-05;0.00012439404319629566;0.003967612989708714;0.01028757303508469;0.0006813822963140375;0.00016709647593532253;0.0009988656005911502;0.0009227438726650589;0.0033270764986233106;2.4136157635102143e-05;5.569882531177418e-05;0.0006795256688036449;0.0003174833042771128;6.498196286373654e-05;0.00017266635846649995;0.0036092838802029665;0.0011845283516303976;3.527592269745698e-05;0.00018009286850806982;0.004002888912406171
î;0.00023022181128866658;0.0050426003182259555;0.012034659522364006;0.006156576824461439;0.006280970867657734;0.0031135643349281764;0.0023040747403970585;0.0016561117392700855;0.002294791602845096;0.00425724688132994;0.0032231053580413322;0.008369676816849267;0.0065631782492373905;0.01043053335338491;0.002344920545625693;0.0035424452898288375;0.007879527154105653;0.009908821022964625;0.009028779583038594;0.0005978340583463761;0.0006925220613763922;0.0007946365744479783;0.0001485302008313978;0.0025992785145494616;0.001650541856738908;0.00015781333838336015;0.0;1.8566275103924725e-06;0.0004084580522863439;0.0008818980674364244;0.001087983721089989
ï;0.0013739043576904296;1.8566275103924725e-06;1.8566275103924725e-06;1.670964759353225e-05;1.8566275103924725e-06;0.0028870557786602946;0.0;0.0;0.0008911812049883868;0.0;7.983498294687631e-05;0.000844765517228575;0.0;6.312533535334407e-05;0.010126046441680544;9.46880030300161e-05;0.007045901401939433;1.1139765062354834e-05;6.12687078429516e-05;0.000809489594531118;1.8566275103924725e-06;0.0;1.8566275103924725e-06;9.283137551962363e-06;1.485302008313978e-05;0.0;0.00023207843879905906;0.0006962353163971771;3.713255020784945e-06;0.0;0.0004214544448590913
ð;0.009938527063130906;0.0002079422811639569;0.000436307464942231;0.00036761224705770954;0.0005198557029098923;0.0070756074421057125;0.0004381640924526235;6.6838590374129e-05;0.00628468412267852;1.8566275103924725e-06;0.0004066014247759515;8.911812049883867e-05;0.00030634353921475796;0.0008986077150299567;0.00823042975356983;0.0002432182038614139;9.283137551962362e-05;0.0004771532701708654;0.0008039197119999406;0.0036891188631498427;4.8272315270204286e-05;0.00017452298597689242;0.00011511090564433329;0.00011511090564433329;0.0002822073815796558;7.612172792609138e-05;0.0016969575444987198;0.0009505932853209459;1.8566275103924726e-05;0.0002469314588821988;0.0012717898446188436
ñ;0.0017359467222169617;0.00021351216369513434;0.002274368700230779;0.000133677180748258;0.0005124291928683225;0.0040344515800828425;0.00010582776809237093;0.00012439404319629566;0.002062713164046037;1.8566275103924725e-06;0.005774111557320589;0.0028090774232238107;0.0012476536869837414;0.0012272307843694244;0.003087571549782682;0.002307787995417843;0.0004455906024941934;0.0012717898446188436;0.01269004903353255;0.0010304282682678221;5.198557029098923e-05;0.00023022181128866658;2.784941265588709e-05;0.0004288809549006611;9.283137551962362e-05;1.8566275103924725e-06;0.000471583387639688;0.003930480439500865;6.869521788452148e-05;0.00015224345585218276;0.0036278501553068912
ò;0.006492626403842476;0.00032119655929789776;0.0029928835467526657;0.00015966996589375263;0.0004066014247759515;0.005590305433791735;6.498196286373654e-05;0.00013924706327943543;0.004329655354235246;3.713255020784945e-06;0.0007445076316673814;0.00039546165971359663;0.0002432182038614139;0.0015502839711777146;0.01606911110244685;0.0005458484880553869;0.003431047639205289;0.001450026085616521;0.0003787520121200644;0.0022223831299397895;4.641568775981181e-05;5.941208033255912e-05;0.00014296031830022038;0.0004010315422447741;2.5992785145494614e-05;2.5992785145494614e-05;0.0018324913527573703;0.005855803167777858;0.00014481694581061286;7.240847290530643e-05;0.0006553895111685428
ó;0.0001968025161016021;0.0008391956346973975;0.0015985562864479189;0.0016951009169883275;0.0025992785145494616;0.0002822073815796558;0.0015614237362400693;0.001175245214078435;0.0006683859037412901;0.00011139765062354835;0.001858484137902865;0.0018677672754548273;0.0015224345585218273;0.0011808150966096124;0.00044744723000458587;0.001312635649847478;0.0008429088897181826;0.002354203683177655;0.0020181541037966174;0.00016709647593532253;4.8272315270204286e-05;0.00046972676012929556;1.2996392572747307e-05;0.0012030946267343222;0.0009357402652378061;0.000235791693819844;0.0;0.0;0.0001225374156859032;0.0011882416066511825;0.00015595671087296768
ô;0.00021722541871591929;3.713255020784945e-06;2.5992785145494614e-05;5.569882531177417e-06;5.569882531177417e-06;0.00016523984842493005;0.0;7.42651004156989e-06;0.0007723570443232686;0.0;2.784941265588709e-05;0.00011511090564433329;1.1139765062354834e-05;2.4136157635102143e-05;7.797835543648384e-05;2.2279530124709668e-05;0.0005792677832424514;2.970604016627956e-05;1.670964759353225e-05;9.283137551962362e-05;5.569882531177417e-06;0.0;0.0;1.8566275103924725e-06;0.0;0.0;2.2279530124709668e-05;1.8566275103924725e-06;1.8566275103924725e-06;0.0;5.569882531177417e-06
õ;0.00119381148918236;0.00016523984842493005;0.0004845797802124353;0.00017266635846649995;0.00015224345585218276;0.00010582776809237093;4.270243273902687e-05;7.983498294687631e-05;0.00048272315270204286;1.8566275103924725e-06;0.0002506447139029838;0.00021722541871591929;0.0002079422811639569;0.0004084580522863439;0.002931614838909714;0.0003917484046928117;0.00021908204622631176;0.0004381640924526235;0.00014481694581061286;0.00022093867373670423;2.4136157635102143e-05;9.283137551962363e-06;7.42651004156989e-06;7.797835543648384e-05;2.5992785145494614e-05;1.8566275103924725e-06;0.0;3.713255020784945e-06;4.0845805228634394e-05;0.0;2.784941265588709e-05
ö;0.0006739557862724676;9.283137551962363e-06;5.198557029098923e-05;3.898917771824192e-05;2.0422902614317197e-05;0.001288499492212376;1.8566275103924725e-06;9.283137551962363e-06;0.0002877772641108332;0.0;0.00021908204622631176;9.283137551962363e-06;2.2279530124709668e-05;5.569882531177418e-05;0.0005161424478891073;3.898917771824192e-05;5.569882531177417e-06;4.0845805228634394e-05;1.8566275103924726e-05;0.0005829810382632363;0.0;3.713255020784945e-06;0.0;3.713255020784945e-06;0.0;0.0;0.00013924706327943543;0.0;3.713255020784945e-06;0.0;3.713255020784945e-06
÷;0.0025250134141337624;1.485302008313978e-05;1.1139765062354834e-05;5.569882531177417e-06;5.569882531177417e-06;0.003501599484600203;0.0;5.569882531177417e-06;0.0014017537703463166;0.0;0.0002766374990484784;4.270243273902687e-05;5.569882531177417e-06;0.0005551316256073493;0.000133677180748258;1.2996392572747307e-05;3.34192951870645e-05;2.784941265588709e-05;0.004060444365228337;0.0006795256688036449;0.0;1.8566275103924725e-06;0.0;3.713255020784945e-06;8.540486547805374e-05;0.0;0.0;0.00023022181128866658;3.713255020784945e-06;0.0;3.713255020784945e-06
ø;0.0016301189541245908;1.670964759353225e-05;3.1562667676672035e-05;0.0;1.2996392572747307e-05;0.002569572474383182;0.0;1.8566275103924725e-06;0.002283651837782741;0.0;0.0004901496627436128;0.0005421352330346019;3.34192951870645e-05;0.0004084580522863439;0.00039546165971359663;8.169161045726879e-05;5.569882531177417e-06;1.2996392572747307e-05;0.00019123263357042467;0.00033976283440182245;1.8566275103924725e-06;0.0;1.8566275103924725e-06;5.569882531177417e-06;5.569882531177417e-06;0.0;0.0;0.00038246526714084934;0.0;0.0;0.0
ù;0.00048272315270204286;0.0;0.0;0.0;1.8566275103924725e-06;0.0014036103978567092;0.0;0.0;0.0007723570443232686;0.0;0.0;0.0;0.0;3.527592269745698e-05;0.0;0.0;3.713255020784945e-06;1.8566275103924725e-06;1.8566275103924725e-06;7.797835543648384e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2279530124709668e-05;1.8566275103924725e-06;0.0;0.0
û;7.42651004156989e-05;0.0008559052822909298;0.0017322334671961768;0.00023950494884062895;0.00028592063660044076;0.0011696753315472578;7.055184539491395e-05;0.00023764832133023648;0.0004641568775981181;0.0017767925274455962;0.000538421978013817;0.0026382676922677034;0.001984734808609553;0.0009320270102170212;0.0003583291095057472;0.0006628160212101127;0.0005179990753994998;0.00134419831752415;0.0008466221447389674;0.00012439404319629566;1.485302008313978e-05;0.0010657041909652792;1.1139765062354834e-05;0.0002562145964341612;0.0006331099810438332;5.569882531177417e-06;0.0;0.0;7.240847290530643e-05;1.8566275103924725e-06;6.498196286373654e-05
ü;0.0006813822963140375;0.0005291388404618547;0.0014166067904294564;0.00036018573701613964;0.00042702432739026867;0.0017972154300599135;7.612172792609138e-05;0.00045487374004615576;0.0010118619931638974;1.8566275103924725e-06;0.0021629710496072303;0.00017266635846649995;0.000703661826438747;0.0022780819552515636;0.0008781848124156395;0.0010434246608405696;0.00027106761651730097;0.002181537324711155;0.0005811244107528439;0.00023207843879905906;4.270243273902687e-05;0.00012068078817551071;0.00011325427813394082;0.0004938629177643977;0.0005161424478891073;1.1139765062354834e-05;0.0;0.0;0.0001968025161016021;0.0006256834710022633;0.0006219702159814783
ý;0.0;1.8566275103924725e-06;7.42651004156989e-06;1.1139765062354834e-05;5.569882531177417e-06;0.0;0.0;3.713255020784945e-06;0.0;1.2996392572747307e-05;6.312533535334407e-05;9.840125805080105e-05;1.485302008313978e-05;5.7555452822166645e-05;0.0;1.1139765062354834e-05;5.941208033255912e-05;8.726149298844621e-05;0.002576998984424752;0.0;0.0;5.569882531177417e-06;1.8566275103924725e-06;0.0;1.8566275103924725e-06;0.0;0.0;0.0;1.8566275103924725e-06;0.0;0.0
þ;0.00014481694581061286;0.0004901496627436128;0.0003434760894226074;0.0001411036907898279;0.0005718412732008815;7.983498294687631e-05;7.797835543648384e-05;0.0001225374156859032;0.0003527592269745698;0.0;0.00030820016672515046;0.0001281072982170806;0.0001819494960184623;0.0003861785221616343;0.00023022181128866658;0.0003249098143186827;0.00023950494884062895;0.0004957195452747902;0.000644249746106188;0.00010025788556119352;2.4136157635102143e-05;2.2279530124709668e-05;6.869521788452148e-05;0.00023393506630945153;0.00011325427813394082;0.0005179990753994998;0.0;0.0;4.4559060249419336e-05;4.641568775981181e-05;5.198557029098923e-05
ÿ;0.00032862306933946765;0.0005514183705865643;0.0016691081318428328;0.0007110883364803169;0.0014036103978567092;0.00046972676012929556;0.0007185148465218868;0.002149974657034483;0.0010434246608405696;2.2279530124709668e-05;0.00119381148918236;0.001210521136775892;0.0007240847290530643;0.0022576590526372465;0.0008670450473532847;0.0011529656839537254;0.00030820016672515046;0.002175967442179978;0.002231666267491752;0.0002543579689237687;5.198557029098923e-05;0.00023393506630945153;5.941208033255912e-05;0.0005142858203787149;6.6838590374129e-05;0.00017823624099767735;0.0;0.0;0.00015781333838336015;0.00011139765062354835;0.00033233632436025255
