 ;à;á;â;ã;ä;å;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;û;ü;ý;þ;ÿ; 
à;1.557804679333696e-05;0.0006620669887168207;0.0034115922477407938;0.0009487030497142208;0.0021123831451764913;0.0008505613549161979;0.00118860497033161;0.0039770753463389255;0.00011995096030869457;0.0007586508788355098;0.004271500430732994;0.008834310336501389;0.002671635025057288;0.005098694715459187;6.231218717334783e-06;0.0007259369805695023;0.0026763084390952893;0.003718479769569532;0.00465783599120775;0.00013552900710203154;0.0005062865207834511;0.0009673967058662251;8.723706204268697e-05;0.0007290525899281696;0.0009705123152248925;0.00023522850657938806;0.0;0.0;1.5578046793336957e-06;0.0007742289256288468;0.002769776719855311;0.016492478140105838
á;0.0011403130252722654;2.492487486933913e-05;3.7387312304008697e-05;1.8693656152004348e-05;1.4020242114003262e-05;0.0019690651146777914;4.673414038001087e-06;1.5578046793336957e-06;0.000732168199286837;0.0;0.00024613313933472393;0.000752419660118175;6.231218717334783e-05;0.00024924874869339134;0.002201178011898512;0.0;0.0011948361890489446;6.854340589068262e-05;7.78902339666848e-06;0.0011449864393102663;0.0;4.6734140380010876e-05;6.231218717334783e-06;2.492487486933913e-05;4.673414038001087e-06;0.00016201168665070436;0.003547121254842825;0.00011683535095002718;1.5578046793336957e-06;6.231218717334783e-06;0.00046422579444144136;0.00023990192061738914
â;0.005766992922893342;9.346828076002174e-06;2.180926551067174e-05;2.180926551067174e-05;0.0002726158188833968;0.004167127517217636;0.0;0.0005094021301421185;0.003262042998524759;0.0;0.00012462437434669567;0.0009300093935622164;0.00014020242114003262;0.001341269828906312;0.00696338691662162;0.0003053297171494044;0.0004688992084794424;0.002964502304772023;0.00020095680363404675;0.0007913647771015175;0.0;3.894511698334239e-05;1.4020242114003262e-05;2.959828890734022e-05;0.001238454720070288;6.231218717334783e-06;0.0026451523455086156;0.0001775897334440413;1.5578046793336957e-06;0.0;0.00012462437434669567;0.006086342882156749
ã;0.0010281510883602392;0.0;7.63324292873511e-05;0.0;0.0008614659876715338;0.0005639252939187979;0.0;1.5578046793336957e-06;0.0008100584332535218;0.0;0.00010437291351535762;0.0016154434524690425;1.090463275533587e-05;0.0002928672797147348;0.008962050320206753;0.0;0.0013459432429443132;3.7387312304008697e-05;2.180926551067174e-05;0.0007804601443461816;0.0;0.0;0.0;2.180926551067174e-05;9.346828076002174e-06;0.0;3.1156093586673914e-06;0.0;0.0;9.346828076002174e-06;0.0;0.0008412145268401957
ä;0.004012904853963601;3.427170294534131e-05;0.0009128735420895457;9.346828076002174e-06;2.0251460831338045e-05;0.004263711407336325;1.2462437434669566e-05;4.673414038001087e-06;0.002713695751399298;0.0;0.00020563021767204783;0.0006091016296194751;8.723706204268697e-05;0.0016325793039417133;0.003486366872348811;9.502608543935544e-05;0.002026703887813138;0.00026482679548672826;0.0002897516703560674;0.0015998654056757055;1.2462437434669566e-05;5.140755441801196e-05;0.00016201168665070436;2.180926551067174e-05;0.00010281510883602392;0.0;0.0006542779653201522;0.0007664399022321783;1.5578046793336957e-06;1.4020242114003262e-05;0.00035985288092608373;0.0010889054708542534
å;9.346828076002174e-06;0.0010421713304742425;0.0013147871493576393;0.0033305864044154416;0.00240680822957056;0.001439411523704335;0.0009284515888828827;0.001081116447457585;0.00016201168665070436;0.002283741659903198;0.000982974752659562;0.005924331195506045;0.003723153183607533;0.006684539879020889;0.00024457533465539023;0.0009362406122795511;0.0067499676755529035;0.003420939075816796;0.0035829507624675003;6.542779653201523e-05;1.4020242114003262e-05;0.001029708893039573;0.00026950020952472937;0.000891064276578874;0.0007165901524935001;0.0006433733325648163;0.0;0.0;0.0;0.00034271702945341305;0.0003676419043227522;0.016246345000771115
æ;0.0013350386101889772;4.984974973867826e-05;0.0;2.3367070190005438e-05;0.0006231218717334783;0.00369667050405886;1.2462437434669566e-05;0.0;0.0010920210802129208;0.0;8.412145268401957e-05;1.5578046793336957e-06;1.090463275533587e-05;0.0010203620649635707;3.427170294534131e-05;0.0;0.0;2.0251460831338045e-05;0.0;0.00018849436619937718;0.0;0.0;0.0;4.6734140380010876e-05;0.0;0.0;0.0;3.427170294534131e-05;1.5578046793336957e-06;2.0251460831338045e-05;0.0;0.00020407241299271416
ç;0.005411813456005259;0.0001433180304987;0.0007461884414008403;0.00042995409149610005;0.0006620669887168207;0.00020718802235138154;0.00017135851472670652;7.789023396668479e-05;0.00031156093586673914;1.5578046793336957e-06;0.00016201168665070436;0.00017603192876470763;0.0002554799674107261;0.0015079549295950174;0.0006854340589068261;3.427170294534131e-05;0.0001448758351780337;0.0001464336398573674;1.2462437434669566e-05;0.0002570377720900598;0.0;0.0;3.1156093586673914e-06;1.2462437434669566e-05;1.2462437434669566e-05;0.0;0.0005296535909734565;0.0010998101036095891;0.0;0.0001121619369120261;0.0005078443254627848;0.0011200615644409273
è;7.010121057001631e-05;0.0004829194505934457;0.0025843979630146012;0.00047357262251744353;0.0017120273425877317;0.002328917995603875;0.0003847777557954229;0.001643483936697049;0.0006231218717334783;0.0014129288441556622;0.0016512729600937175;0.00488527547439047;0.0028087218368386536;0.0031732481318027385;0.00026950020952472937;0.0002165348504273837;0.0006620669887168207;0.0027775657432519796;0.0032854100687147642;3.1156093586673914e-06;1.7135851472670655e-05;0.0016668510068870545;0.0014144866488349957;0.001162122290782937;0.0003536216622087489;0.00010437291351535762;0.0;1.5578046793336957e-06;0.0;0.0002881938656767337;0.001567151507409698;0.017727817250817457
é;1.5578046793336957e-06;1.4020242114003262e-05;0.0;3.1156093586673914e-06;0.00017914753812337501;1.2462437434669566e-05;0.0;0.0;0.0;1.5578046793336957e-06;4.050292166267609e-05;0.0002243238738240522;4.6734140380010876e-05;0.0003396014200947457;1.2462437434669566e-05;0.0;5.608096845601305e-05;0.0006496045512821511;0.00029909849843206957;0.0;0.0;0.0;3.5829507624675e-05;5.452316377667935e-05;8.100584332535218e-05;1.5578046793336957e-06;0.0;0.0;0.0;1.5578046793336957e-06;0.0;0.007606760249186437
ê;0.007488367093557075;1.5578046793336957e-06;0.00016668510068870544;3.1156093586673914e-06;1.8693656152004348e-05;0.00047357262251744353;1.090463275533587e-05;7.78902339666848e-06;0.002494045291613247;0.0;9.346828076002174e-06;0.0003551794668880826;1.5578046793336957e-06;0.002258816785033859;0.008187821394577905;0.0;0.001710469537908398;7.010121057001631e-05;0.00039412458387142504;0.0015141861483123522;0.0;3.1156093586673914e-06;1.090463275533587e-05;3.1156093586673914e-06;6.231218717334783e-06;0.0;0.0;0.0;0.0;1.557804679333696e-05;0.0;0.0048837176697111365
ë;0.006394788208664821;2.3367070190005438e-05;9.346828076002174e-06;0.0001479914445367011;0.0003271389826600761;0.0036468207543201817;0.00033025459201874353;6.231218717334783e-06;0.006305993341942801;0.0;0.0007804601443461816;0.00011527754627069349;9.346828076002174e-06;0.00024924874869339134;0.006226545303296782;0.00010281510883602392;0.0;0.0013443854382649795;4.2060726342009786e-05;0.0011714691188589393;7.78902339666848e-06;0.0;0.0;0.00021030363171004892;1.5578046793336957e-06;1.5578046793336957e-06;0.0012104142358422816;0.003436517122610133;1.5578046793336957e-06;0.0008194052613295239;0.0017089117332290643;0.00783575753704849
ì;0.002743294040306638;3.1156093586673914e-06;0.0;6.075438249401414e-05;1.5578046793336957e-06;0.0026903286812092926;0.0;3.1156093586673914e-06;0.003431843708572132;0.0;6.698560121134892e-05;7.477462460801739e-05;1.557804679333696e-05;0.0011169459550822599;0.003497271505104147;0.0002227660691447185;4.2060726342009786e-05;0.00013085559306403045;5.608096845601305e-05;0.0021700219183118383;1.5578046793336957e-06;1.5578046793336957e-06;3.427170294534131e-05;2.6482679548672828e-05;6.231218717334783e-06;1.5578046793336957e-06;0.0006184484576954772;2.3367070190005438e-05;1.5578046793336957e-06;6.075438249401414e-05;0.00042995409149610005;0.007268716633771024
í;0.010192716016880371;1.090463275533587e-05;9.346828076002174e-06;0.00016512729600937177;0.0011185037597615936;0.008631795728188008;2.6482679548672828e-05;1.7135851472670655e-05;0.00654589526256019;0.0;0.0002180926551067174;3.1156093586673914e-06;3.1156093586673914e-06;0.0028492247585013295;0.008312445768924601;1.2462437434669566e-05;3.894511698334239e-05;0.0003987979979094261;0.0005935235828261381;0.0026311321033946123;9.346828076002174e-06;0.0;0.0005654830985981316;0.00018849436619937718;3.5829507624675e-05;0.0001433180304987;0.0030283722966247045;0.000993879385414898;3.1156093586673914e-06;0.00014954924921603479;0.003329028599736108;0.004449090164177035
î;7.78902339666848e-06;0.0030377191247007067;0.007989980200302525;0.0046204486789037415;0.0044303965080250305;0.002095247293703821;0.0015858451635617024;0.0008723706204268696;0.0007757867303081805;0.0035720461297121643;0.0016652932022077208;0.006715695972607563;0.004816732068499787;0.006668961832227552;0.0001853787568407098;0.0010935788848922545;0.006150212874009431;0.006468005028593505;0.006664288418189551;5.2965359097345655e-05;0.00046422579444144136;0.0005390004190494587;9.191047608068805e-05;0.001316344954036973;0.001285188860450299;0.00012306656966736197;0.0;0.0;2.180926551067174e-05;0.000732168199286837;0.0006153328483368099;0.020728149063214157
ï;0.0011527754627069348;0.0;0.0;1.4020242114003262e-05;0.0;0.0024192706670052295;0.0;0.0;0.0007446306367215066;0.0;6.075438249401414e-05;0.0007088011290968315;0.0;5.140755441801196e-05;0.008491593307047976;7.944803864601849e-05;0.0059118687580713754;3.1156093586673914e-06;4.829194505934457e-05;0.0006792028401894914;1.5578046793336957e-06;0.0;1.5578046793336957e-06;7.78902339666848e-06;1.2462437434669566e-05;0.0;0.00019472558491671197;0.0005841767547501359;3.1156093586673914e-06;0.0;0.0003536216622087489;3.2713898266007614e-05
ð;0.008299983331489931;0.00012150876498802828;0.0002554799674107261;0.00027728923292139783;0.00039724019323009245;0.005919657781468044;0.0003645262949640848;3.2713898266007614e-05;0.005178142754105205;0.0;0.0002523643580520587;6.075438249401414e-05;0.00023055509254138698;0.0006418155278854826;0.006821626690802254;4.361853102134348e-05;4.984974973867826e-05;0.00023522850657938806;0.0006371421138474816;0.003042392538738708;2.180926551067174e-05;0.00013085559306403045;9.502608543935544e-05;7.944803864601849e-05;0.00023211289722072068;6.386999185268152e-05;0.0014238334769109979;0.0007975959958188522;3.1156093586673914e-06;0.00020718802235138154;0.0010530759632295785;0.0012664952042982947
ñ;0.0013989086020416589;4.2060726342009786e-05;0.0017042383191910632;1.090463275533587e-05;0.0003053297171494044;0.0033274707950567742;2.180926551067174e-05;4.984974973867826e-05;0.001643483936697049;0.0;0.004643815749093747;0.0022915306832998663;0.0009689545105455588;0.0007025699103794968;0.0024410799325159014;0.001674640030283723;0.0002585955767693935;0.0007430728320421729;0.010374979164362414;0.0007165901524935001;1.7135851472670655e-05;0.0001822631474820424;2.0251460831338045e-05;0.00031779215458407396;4.984974973867826e-05;0.0;0.00039568238855075874;0.003297872506149434;1.5578046793336957e-06;0.00012773998370536305;0.003025256687266037;0.0030221410779073697
ò;0.005355732487549246;2.8040484228006524e-05;0.002099920707741822;9.346828076002174e-06;0.00012929778838469675;0.004537885030899056;1.5578046793336957e-06;6.231218717334783e-06;0.00333837542781211;0.0;0.00034427483413274675;0.00026950020952472937;4.6734140380010876e-05;0.0008723706204268696;0.013214857094787742;6.075438249401414e-05;0.0027947015947246503;0.0008053850192155207;0.00010593071819469131;0.0017447412408537393;1.4020242114003262e-05;2.180926551067174e-05;0.00011839315562936088;0.00016045388197137066;1.5578046793336957e-06;1.8693656152004348e-05;0.0015375532185023578;0.004913315958618477;9.346828076002174e-06;5.919657781468044e-05;0.0004875928646314468;0.004545674054295725
ó;1.8693656152004348e-05;0.0005047287161041174;0.0008318676987641936;0.001224434477956285;0.001909868536863111;0.0001464336398573674;0.0012509171575049577;0.0008583503783128664;1.7135851472670655e-05;9.035267140135436e-05;0.0009876481666975631;0.001484587859405012;0.0009798591433008946;0.000302214107790737;1.2462437434669566e-05;0.0005452316377667936;0.0005670409032774653;0.0013848883599276555;0.0014207178675523305;4.673414038001087e-06;6.231218717334783e-06;0.0003551794668880826;1.5578046793336957e-06;0.0006885496682654935;0.000752419660118175;0.00019160997555804459;0.0;0.0;2.180926551067174e-05;0.000993879385414898;6.698560121134892e-05;0.006436848935006831
ô;0.0001775897334440413;0.0;0.0;0.0;0.0;0.00013708681178136524;0.0;0.0;0.0006277952857714794;0.0;1.090463275533587e-05;9.191047608068805e-05;4.673414038001087e-06;0.0;5.7638773135346745e-05;0.0;0.0004766882318761109;6.231218717334783e-06;7.78902339666848e-06;7.010121057001631e-05;4.673414038001087e-06;0.0;0.0;0.0;0.0;0.0;1.8693656152004348e-05;1.5578046793336957e-06;1.5578046793336957e-06;0.0;0.0;0.0001838209521613761
õ;0.0009658389011868914;0.0;0.00012773998370536305;0.0;0.0;3.894511698334239e-05;0.0;0.0;0.0001526648585747022;0.0;0.0;6.075438249401414e-05;5.452316377667935e-05;0.0001479914445367011;0.0022416809335611882;1.5578046793336957e-06;7.32168199286837e-05;3.894511698334239e-05;2.492487486933913e-05;0.00011995096030869457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1156093586673914e-06;0.0;0.0;0.0;0.0031062625305913892
ö;0.0005623674892394642;0.0;1.8693656152004348e-05;2.6482679548672828e-05;3.1156093586673914e-06;0.0010717696193815827;0.0;0.0;0.0002227660691447185;0.0;0.00017135851472670652;4.673414038001087e-06;0.0;2.6482679548672828e-05;0.00040970263066476197;0.0;0.0;1.5578046793336957e-06;3.1156093586673914e-06;0.0004860350599521131;0.0;0.0;0.0;0.0;0.0;0.0;0.00011683535095002718;0.0;0.0;0.0;0.0;0.00026950020952472937
÷;0.0021123831451764913;0.0;0.0;0.0;0.0;0.00293801962522335;0.0;0.0;0.001162122290782937;0.0;0.0002227660691447185;3.5829507624675e-05;0.0;0.00045643677104477285;9.346828076002175e-05;0.0;2.0251460831338045e-05;0.0;0.003399129810306124;0.0005701565126361327;0.0;0.0;0.0;0.0;7.010121057001631e-05;0.0;0.0;0.0001931677802373783;1.5578046793336957e-06;0.0;0.0;0.00015889607729203698
ø;0.0013646368990963176;0.0;1.557804679333696e-05;0.0;0.0;0.002156001676197835;0.0;0.0;0.001909868536863111;0.0;0.0004081448259854283;0.00045487896636543914;2.0251460831338045e-05;0.0003286967873394098;0.0003271389826600761;5.452316377667935e-05;3.1156093586673914e-06;1.5578046793336957e-06;0.00015889607729203698;0.00028507825631806635;0.0;0.0;0.0;0.0;4.673414038001087e-06;0.0;0.0;0.0003209077639427413;0.0;0.0;0.0;0.0001106041322326924
ù;0.0004050292166267609;0.0;0.0;0.0;0.0;0.001177700337576274;0.0;0.0;0.00064493113724415;0.0;0.0;0.0;0.0;2.8040484228006524e-05;0.0;0.0;1.5578046793336957e-06;0.0;0.0;6.542779653201523e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8693656152004348e-05;1.5578046793336957e-06;0.0;0.0;1.090463275533587e-05
û;0.0;0.0004953818880281153;0.0010624227913055805;0.0001106041322326924;7.944803864601849e-05;0.0008895064718995403;2.959828890734022e-05;4.6734140380010876e-05;1.4020242114003262e-05;0.0014892612734430132;0.0001822631474820424;0.0021746953323498394;0.0014472005471010034;0.00034427483413274675;3.1156093586673914e-06;0.00012306656966736197;0.00034583263881208045;0.0007711133162701795;0.0005312113956527902;4.673414038001087e-06;0.0;0.0008505613549161979;1.5578046793336957e-06;0.00012929778838469675;0.0005156333488594533;1.5578046793336957e-06;0.0;0.0;0.0;0.0;0.0;0.00428240506348833
ü;1.2462437434669566e-05;0.00010437291351535762;7.78902339666848e-06;4.050292166267609e-05;3.5829507624675e-05;0.0011387552205929317;0.0;0.00012929778838469675;7.477462460801739e-05;0.0;0.0010889054708542534;0.0;0.000338043615415412;0.0010032262134909002;4.361853102134348e-05;0.0;0.0;0.0008723706204268696;0.0001121619369120261;0.0;6.231218717334783e-06;0.0;8.567925736335326e-05;4.361853102134348e-05;0.0004034714119474272;7.78902339666848e-06;0.0;0.0;0.0;0.0005234223722561218;0.00042839628681676635;0.010283068688281726
ý;0.0;0.0;0.0;7.78902339666848e-06;1.5578046793336957e-06;0.0;0.0;1.5578046793336957e-06;0.0;7.78902339666848e-06;5.140755441801196e-05;8.100584332535218e-05;7.78902339666848e-06;4.6734140380010876e-05;0.0;9.346828076002174e-06;4.517633570067718e-05;7.010121057001631e-05;0.002156001676197835;0.0;0.0;4.673414038001087e-06;1.5578046793336957e-06;0.0;1.5578046793336957e-06;0.0;0.0;0.0;0.0;0.0;0.0;4.2060726342009786e-05
þ;0.0;0.0003053297171494044;0.0;1.5578046793336957e-06;0.00034427483413274675;0.0;6.231218717334783e-06;2.6482679548672828e-05;0.0;0.0;4.673414038001087e-06;3.894511698334239e-05;2.492487486933913e-05;8.100584332535218e-05;0.0;0.0;6.542779653201523e-05;0.0001448758351780337;0.0004190494587407642;0.0;0.0;6.231218717334783e-06;4.517633570067718e-05;5.7638773135346745e-05;7.165901524935e-05;0.00042995409149610005;0.0;0.0;0.0;3.5829507624675e-05;0.0;0.003333702013774109
ÿ;1.5578046793336957e-06;3.2713898266007614e-05;0.0002632689908073946;0.0002959828890734022;0.0007088011290968315;9.502608543935544e-05;0.0005078443254627848;0.0015235329763883545;1.4020242114003262e-05;1.8693656152004348e-05;7.477462460801739e-05;0.0008739284251062033;0.0003240233733014087;0.0006013126062228066;0.0;1.557804679333696e-05;3.894511698334239e-05;0.0008645815970302011;0.0014004664067209926;0.0;1.5578046793336957e-06;0.00013864461646069892;3.2713898266007614e-05;0.00011839315562936088;3.1156093586673914e-06;0.0001448758351780337;0.0;0.0;0.0;8.567925736335326e-05;0.00019939899895471305;0.011044835176475903
 ;0.002928672797147348;0.007317008578830369;0.014956482726282814;0.005122061785649191;0.006841878151633592;0.0038041590269328853;0.0016606197881697197;0.004064312408381612;0.010627343522414472;2.6482679548672828e-05;0.01097161835654722;0.0026186696659599427;0.0056906604936059904;0.014556126923694053;0.011953035304527447;0.015204173670296871;0.004316676766433671;0.015353722919512905;0.006743736456835569;0.0037620983005908753;0.0007726711209495132;0.0011231771737995947;0.0002959828890734022;0.005092463496741852;0.0009814169479802283;7.32168199286837e-05;1.5578046793336957e-06;3.1156093586673914e-06;0.0024566579793092384;6.386999185268152e-05;0.0015655937027303642;0.0
