a,b,inverse,score,ok,preview
72,805,True,3.06,True,агодышлидашлибыстроинеслышнока
152,450,True,1.01,False,ожйнхюлкйрлаьчэлндбкчфшахюэхфр
676,287,True,1.51,False,умшапижолсьймепяблбоцутйпиыдбс
448,578,True,1.08,False,дщоирйбваоыншэфдбхмвяцхнрйщшцо
889,877,True,0.90,False,яюрэдиушьбжхчадпмрршсьнхдистхб
80,683,True,1.04,False,шехйзьхщяшхжтэрямывщфншжзьстчш
604,520,True,1.17,False,лхббвдцоцумрщязфцйшолмэрвдстыу
376,811,True,1.55,False,яжлшьмчгоогывбюкачпгвлбыьмстюо
809,602,True,0.93,False,рыхуйгуцхрфбгйвхсэюцзмзбйгвлкр
881,763,True,1.46,False,жьйччейзаийымдовтжэзкужыченози
524,245,True,0.45,False,скйсшвяохфхдеьфпиифофшгдшвющбф
296,536,True,1.15,False,мгйфчууыыоппйабшнзиыажфпчужддо
285,2,True,1.48,False,лфзбпшштупгчтьпвюхютинмчпшдэюп
357,163,True,1.03,False,уляаээитинтревчмичжтуфврээнодн
437,769,True,1.58,False,нцхпжяатймйэщексцшкткиьэжябзюм
733,897,True,1.01,False,щазруыртзоьдпяезщцвтюбидуыщхко
513,65,True,1.16,False,ызршочюяятдуждкэюлтяакйуочеиит
585,226,True,1.43,False,аыуигфзюртьжюабцяйпюэхюжгфнобт
665,832,True,1.19,False,тюхмзнлждтпсцбюисщцжяыксзншэыт
228,669,True,1.29,False,жбчрлжоочтгэпвщщекэовацэлжелфт
940,557,True,2.24,False,лгрдгшиилащлжбдсерлижетлгштоса
276,140,True,1.13,False,южчнпюхкьртанчюлпдлкефаапюбхзр
924,628,True,1.58,False,лмаамилофспйееаявлжонужймиэдкс
510,423,True,1.05,False,гщлидйхвеойньэцдехбвщцдндйвшьо
21,164,True,1.28,False,шюуэбиьшщбкхяаапяршшюьсхбистуб
297,621,True,0.99,False,сеййуьфщзшежхэбявыбщгнижуьсташ
945,148,True,1.39,False,пхябддьонуяркяффкйюогмпрддстсу
531,904,True,1.67,False,ожушумггуошыабиксчыгглцыумстго
685,912,True,0.95,False,жымуфгоциртбцйжхфэшцямебфгглэр
664,825,True,1.35,False,тьычрепзэияыодгввжгзбуьыретоди
648,896,True,0.34,False,ьктснвдогфчдсьрпеищоэшеднвэщоф
234,691,True,1.20,False,чгцфоуйыаолпрайшузюыпжрпоуидйо
37,622,True,1.67,False,шфебчшштппфчяьдввхютцнюччшзэщп
16,535,True,0.69,False,флжааэитцнерщвпмщчжтбффраэтотн
313,118,True,1.49,False,ицспцяатбммэтеусяшктзияэцяззхм
547,401,True,1.35,False,бащрйыртмоюдаялзфцвтьбкдйыюхпо
451,220,True,1.40,False,бзшшачояятыуиднэялгяккауачвиит
430,133,True,1.44,False,хырирфбюртлжеаьцтййюбхнжрфтобт
727,677,True,0.95,False,мюнмхныждтшсфбыирщжжфыусхньэыт
414,204,True,1.35,False,дбкрыжуочтжэдвшщпквойащэыжжлфт
295,356,True,1.21,False,жэдсцошдгяывтуоюнйцдмжквцонаяя
516,36,True,1.90,False,эыюлюхснуйуяощнвпсгнжьаяюхкрцй
474,823,True,1.61,False,пцаялдэашюяшчжякавхахзешлдьскю
661,774,True,2.19,False,нгцдьшяибаэлабасэрвирехльшвоза
666,365,True,1.41,False,чхыбиджоыудрляпфсйиотмфридстяу
221,718,True,1.68,False,пжгшдммгйоныдбукочдгбллыдмстшо
179,544,True,1.15,False,лрвумсзахзсйнкььчшракцьймсстиз
366,495,True,1.21,False,зыбофцбэвафчцуенбщьэфвлчфцстча
445,55,True,1.08,False,бчбзаэнелйкупшсрпбьечцюуаэфвий
740,728,True,1.56,False,пмыщыжтпхдрчыслипыыпюзтчыжнажд
919,234,True,1.42,False,ннпющимаэьфсымщфыдюаыобсщисгаь
145,185,True,1.58,False,юэеькзячщатфкятоепьчьыщфкзясуа
487,427,True,0.95,False,оьюууовтефящзмаиярйтйлшщуогбуф
782,139,True,1.04,False,увьятбчтйлнйсивцжщотуьгйтбнацл
42,780,True,1.48,False,сеофекттбцкбдждюдобтддюбекнпюц
187,557,True,1.46,False,фякйячэтсарсякапйеьтдуисячмрпа
300,830,True,1.55,False,спиовщакютвзясябввэконйзвщэдчт
595,542,True,1.86,False,цчюдйьэхэтйызящеэшвхкртыйьназт
816,222,True,1.18,False,ахшцфляыетлюуумдщгвывчдюфлаблт
774,48,True,1.26,False,йуфйяывантобаиягхнгащяцбяытвпт
287,872,True,1.16,False,изьрркзхчлхсофуйчагхдщфсркенпл
826,222,True,1.81,False,шыслмхднийняыщхвасхнсьщямхлрлй
718,461,True,1.77,False,хугхзяяюмнмдепуртоеюсчюдзязкшн
674,810,True,1.00,False,ошыпжхпкяфбоилгцаауктжвожхстзф
746,10,True,1.34,False,кщхяхжуухкбгнпявсэгуфдэгхжстфк
539,388,True,1.68,False,понфмршнсьаатвшеяялноыфамрстць
431,627,True,1.68,False,фгекгыюзонюэцфтинбузйслэгыстщн
889,247,True,1.90,False,цэиььзлчуаюфояьодпичйыефьзйсна
215,475,True,1.31,False,мжбббщгмбххэйрчюегумвьщэбщенвх
754,786,True,1.42,False,гихйфюгныеэргжчцлхжншкхрфююубе
646,64,True,1.59,False,чзлеыьтэюнйцжликиммэюгчцыьсрсн
135,67,True,1.34,False,юеефккттоцйбьжбюцобтедэбкклплц
422,295,True,1.50,False,зсйлкпютедчадююычблтиегакпенад
207,228,True,1.47,False,учбцввутьыщпущяйлкртюхбпввшмхы
853,845,True,0.93,False,ылсатэитннфрхвюмгчжтсфдртэсойн
243,182,True,1.57,False,бмукпбчвкткьсргпдссвеишьпбпхют
530,410,True,1.03,False,вэсхуешшитшгалдчйягшнолгуеенэт
315,343,True,1.18,False,яшлыьддгштнйрфохоукгшэяйьдепет
108,721,True,1.76,False,ьфжадгонйтвпбюшууирнелтпдгеснт
521,573,True,1.58,False,фигьйдыкннпешббыизхкмпжейднагн
566,67,True,1.27,False,эгвмхжусчзцнарюепьпсьххнхжыйпз
140,885,True,1.33,False,йшхнйкдаыырюшпьщмевамваюйкоьцы
252,309,True,1.06,False,хчхкшюлфоапмутшьййгфюэнмшюхдюа
440,148,True,1.13,False,жжцтскаднблйвншутзедняфйскночб
45,532,True,1.14,False,дпыюйягччджгютпщплочщмбгйяноод
580,389,True,0.93,False,нйпбчьюамвтзащвхоюеамшмзчьноыв
692,774,True,2.18,False,цггджшчибаялгбфсорыиаечлжшноза
395,24,True,1.41,False,юлшвеижэгздбщюэйкткэюшебеиаелз
916,914,True,0.84,False,хяяррпццгкфльькфлглцбвщлрпнамк
535,265,True,1.40,False,йсуыофыафхмьвятуакцаудльофачмх
647,650,True,1.46,False,аийхавшлмарупнядецблкгтуавжьэа
821,365,True,1.47,False,рхебсдцояуйрбяюфойшоомщрсдлтгу
381,294,True,1.41,False,нелнвтэоомизщфчшлрхонхозвтнаам
426,749,True,1.03,False,рэжулщаоешнтчпзыыддозкотлщщцнш
112,30,True,1.26,False,йнрзшлщочавььщицьэзофбньшлайта
709,334,True,1.47,False,дцедброщмолвжьбтсецщьснвбрекэо
269,263,True,1.32,False,длчкухгжщоьгчнеэлюажыйггухнауо
314,718,True,1.60,False,ыжршымвгоойылбькфчщгрлзыымутюо
849,575,True,1.92,False,сбкзвгбагочтюфсчюсуажнмтвгыеио
257,146,True,0.99,False,хтыыгайьбщкффвжжсювьегрфгаентщ
329,874,True,1.24,False,ялтетйнмзюыщшчлфтыымвяжщтйюзвю
224,453,True,0.90,False,тэжщкьлнкжадэгтсмфвницхдкьюычж
211,108,True,1.59,False,яивьедмкщняещбмыяззкапхеедыапн
704,575,True,1.33,False,эйчбпьйасвизющмхаюраншвзпьноав
928,384,True,0.66,False,сзывчыпницаюесюяцданрэдючынойц
915,39,True,0.80,False,глзафэутнниргввмщчстффчрфэнойн
632,178,True,0.89,False,урацатепкючвщдззабчппэмватффпю
889,641,True,1.75,False,тшдччгзуоьщркычкалдуецбрчгениь
856,948,True,1.86,False,ямщжккснсяфыкшрхрьянсааыккнимя
843,603,True,1.58,False,штоярцмррнзхкщфаиусрллрхрцшыын
737,797,True,1.27,False,яямвиазоихтчхшакжзрокеэчиафбых
33,299,True,1.56,False,бфчщыбгокесюнкуэьчтобянюыбенйе
105,66,True,1.51,False,упшхисбоаэюбигвжвауобьтбисеуеэ
948,261,True,0.92,False,ощцюмреоунжытсжуцпсоввйымрезмн
750,535,True,1.33,False,ууранчжсшоуцшыжбуфлстмэцнччьго
46,37,True,1.31,False,прльэяяйеоклпщрпшдбйюзылэяенйо
118,765,True,1.33,False,щйгэвежлволживюькиблзрвжвещбчо
13,344,True,0.85,False,двыюжлнняомбакмиьмбнрщйбжлнфжо
862,573,True,1.26,False,оижьждгклнуеабэыызюкшпкежднабн
752,67,True,1.46,False,тгшмбжоскзфнурветьксухунбжьйвз
512,885,True,1.32,False,цшунскдацывюепрщреваывсюсксьты
345,309,True,1.08,False,ьчюккюьфоажмхтьькйуфиэдмкютдюа
99,148,True,1.32,False,сжштщкэдфбмйанвуезвджяхйщктояб
851,532,True,0.86,False,рпмювяйчфдьгатдщялфчрмцгвятолд
611,389,True,1.31,False,ойцбыьюаывезфщщхаюеащшязыьтойв
444,774,True,2.22,False,мгадушсибаолкбпсврфидезлуштоза
209,24,True,1.46,False,нлзвяирэхзлблююймтфэлшмбяидеюз
110,914,True,0.69,False,оятрэпхцлкдляьыфбгкцпвйлэпнафк
721,265,True,1.52,False,дспыяфыамхпьыяьуикцардоьяфжчдх
554,650,True,1.45,False,щибховилмащунньддцрлагьуовйьэа
449,365,True,1.56,False,ихмбодьоиуэрщяофпйюоемнроднтму
350,294,True,1.49,False,сейндтвоемызкфешярыоехбздтнацм
240,749,True,1.13,False,ыэпуащеотшптдпгычдйопкртащшцыш
794,30,True,1.33,False,знгзиляочаеьрщзцжэмоьбрьилбйта
616,334,True,1.22,False,гцвдфргщсощвйьгтхелщцсьвфрнкво
517,263,True,1.32,False,улаклхожяосгхнпээюлжьйшглхнашо
407,718,True,1.68,False,жжюшсмчгуоеытбдкычпгалгысмхтго
167,575,True,1.94,False,шбэзчгбаиощтофччшсуаднотчгяено
784,22,True,0.88,False,птюыаасьящофьввждюкьсгффааенрщ
267,719,True,1.14,False,флйеюйимщюшщмчпфхыхмщядщюйязфю
100,143,True,0.83,False,аэдщтьлнжжсдйгзсрфвнццздтьбыуж
180,511,True,1.52,False,еикьцдэкщнхеьбпыазчккпмецдчапн
177,699,True,1.35,False,ийщбчьжашвйзьщххтюнажшгзчьтозв
277,198,True,0.83,False,тзввыыпнццтющсхяиданюэцюыыточц
357,566,True,0.96,False,шлдавэнтннчрквэмнчлтшфзрвэтойн
694,333,True,0.90,False,гроцщтппэюявлдизвбвпээувщтшфвю
517,672,True,1.06,False,лшччдгжуцьйрныикхлгууцррдгенрь
794,793,True,1.83,False,щмхжыкснйячыгшщхшьяноагыыкуидя
874,200,True,1.44,False,ттжяяцьррнрхищсазубрблщхяцьыын
861,146,True,1.49,False,цяувеамосхжчошркззхоберчеацбдх
684,485,True,1.57,False,ефхщэбиобедююкбэпччошяаюэбенае
167,221,True,1.36,False,юпвхэсжонэабфгюжяашойьфбэсдутэ
80,13,True,1.12,False,мщйюьркоунйызсеубпцойвмыьржзмн
781,132,True,1.29,False,тунабчысюовцьыибчфаснмлцбчаьио
604,471,True,1.35,False,яруьфякйкоалнщыпкдмйязрлфяеноо
87,207,True,1.42,False,ейрэшеьлзозжпвжьрицлцрюжшеьбэо
881,592,True,0.61,False,лвнюьлнндообрктицмбнощлбьлсфло
853,923,True,1.15,False,окдяжььсбмипйбслццщсеучпжьенэм
733,272,True,0.94,False,пиэшкгжыэцсмжзыппячыуйюмкгпюац
908,861,True,0.77,False,цдюмосфньльжругчнпннйфвжосьянл
289,458,True,1.35,False,хрщсшжнхшньштоаявюрхотфшшжсьян
108,759,True,0.66,False,дгнолсхьсбйюймбвыцчьмщщюлснахб
841,387,True,1.78,False,иуажющфршьаицоччремрашюиющнаиь
55,15,True,0.97,False,рюшбмяянйфыцсчййфжинсдецмянаьф
397,573,True,1.51,False,щирььдйкщнценбщышздквпнеьднапн
228,780,True,1.31,False,геффиклтфцббмжцювощтядфбиквпсц
120,98,True,1.53,False,йщтзууээшстеыящхвиеэсффеууенйс
175,36,True,1.78,False,вытлихднкйфяфщлвюсхнкьбяихщрнй
517,594,True,1.60,False,жктйюфбесндвимвьпэюеоилвюфяялн
53,389,True,1.32,False,ьйфбгьюацвцзбщохдюеаишрзгьхоев
906,668,True,1.43,False,бпщмеоуаишццахйдюзкабймцеоенхш
786,17,True,1.63,False,птавйчоаидэоэузлуьэазсройччэед
342,203,True,1.33,False,тмуцбешайнрягчкэзтчаыбиябесюзн
672,185,True,1.78,False,ьэчьщздчщахфяясоппбчгыэфщзасуа
564,464,True,1.45,False,шебсцййгшаьиемчтщжогпюеицйенга
619,402,True,1.13,False,абюцсищнйабоохзркыынчмйосиапла
