bigram,count,freq
рн,62,0.02536824877250409
ыч,41,0.016775777414075287
нк,34,0.013911620294599018
цз,32,0.01309328968903437
иа,30,0.012274959083469721
тч,28,0.011456628477905073
мп,27,0.01104746317512275
фт,27,0.01104746317512275
рч,26,0.010638297872340425
ты,26,0.010638297872340425
бц,26,0.010638297872340425
уч,26,0.010638297872340425
па,25,0.010229132569558102
шч,25,0.010229132569558102
от,24,0.009819967266775777
еэ,24,0.009819967266775777
бш,23,0.009410801963993453
фя,22,0.00900163666121113
бя,22,0.00900163666121113
зт,21,0.008592471358428805
яы,21,0.008592471358428805
шк,20,0.008183306055646482
кы,20,0.008183306055646482
эя,20,0.008183306055646482
ец,20,0.008183306055646482
ьы,19,0.007774140752864157
йв,19,0.007774140752864157
ин,19,0.007774140752864157
бй,19,0.007774140752864157
бч,19,0.007774140752864157
ья,19,0.007774140752864157
щз,18,0.007364975450081833
фэ,18,0.007364975450081833
вд,17,0.006955810147299509
за,17,0.006955810147299509
лч,17,0.006955810147299509
йд,17,0.006955810147299509
еч,17,0.006955810147299509
ач,16,0.006546644844517185
мн,16,0.006546644844517185
жк,16,0.006546644844517185
чн,16,0.006546644844517185
иц,16,0.006546644844517185
юч,16,0.006546644844517185
хы,16,0.006546644844517185
ыз,15,0.0061374795417348605
вя,15,0.0061374795417348605
яз,15,0.0061374795417348605
мэ,15,0.0061374795417348605
пн,14,0.0057283142389525366
ча,14,0.0057283142389525366
кк,14,0.0057283142389525366
щя,14,0.0057283142389525366
цц,14,0.0057283142389525366
нв,14,0.0057283142389525366
еп,13,0.005319148936170213
вс,13,0.005319148936170213
яж,13,0.005319148936170213
ся,13,0.005319148936170213
чя,13,0.005319148936170213
ьк,12,0.004909983633387889
фв,12,0.004909983633387889
йс,12,0.004909983633387889
фп,12,0.004909983633387889
хо,11,0.004500818330605565
гщ,11,0.004500818330605565
кя,11,0.004500818330605565
зе,11,0.004500818330605565
зщ,10,0.004091653027823241
нь,10,0.004091653027823241
йз,10,0.004091653027823241
йа,10,0.004091653027823241
ця,10,0.004091653027823241
оз,10,0.004091653027823241
як,9,0.0036824877250409165
йп,9,0.0036824877250409165
лж,9,0.0036824877250409165
оч,9,0.0036824877250409165
шх,9,0.0036824877250409165
кр,9,0.0036824877250409165
рц,9,0.0036824877250409165
це,9,0.0036824877250409165
тн,9,0.0036824877250409165
ыя,9,0.0036824877250409165
рб,8,0.0032733224222585926
ма,8,0.0032733224222585926
ия,8,0.0032733224222585926
гз,8,0.0032733224222585926
уф,8,0.0032733224222585926
жч,8,0.0032733224222585926
ео,8,0.0032733224222585926
со,8,0.0032733224222585926
лз,8,0.0032733224222585926
ек,8,0.0032733224222585926
хк,8,0.0032733224222585926
вы,8,0.0032733224222585926
дф,8,0.0032733224222585926
хя,8,0.0032733224222585926
мз,8,0.0032733224222585926
еб,8,0.0032733224222585926
нп,7,0.0028641571194762683
ут,7,0.0028641571194762683
пц,7,0.0028641571194762683
щр,7,0.0028641571194762683
тщ,7,0.0028641571194762683
чч,7,0.0028641571194762683
ое,7,0.0028641571194762683
дн,7,0.0028641571194762683
щы,7,0.0028641571194762683
юь,7,0.0028641571194762683
гш,7,0.0028641571194762683
жт,6,0.0024549918166939444
зк,6,0.0024549918166939444
йэ,6,0.0024549918166939444
уэ,6,0.0024549918166939444
уз,6,0.0024549918166939444
бн,6,0.0024549918166939444
эт,6,0.0024549918166939444
зя,6,0.0024549918166939444
ик,6,0.0024549918166939444
ср,6,0.0024549918166939444
эк,6,0.0024549918166939444
эз,6,0.0024549918166939444
юж,6,0.0024549918166939444
эо,6,0.0024549918166939444
эб,6,0.0024549918166939444
ес,6,0.0024549918166939444
ык,6,0.0024549918166939444
уп,6,0.0024549918166939444
сс,6,0.0024549918166939444
на,6,0.0024549918166939444
чх,6,0.0024549918166939444
лу,5,0.0020458265139116204
фл,5,0.0020458265139116204
ра,5,0.0020458265139116204
йя,5,0.0020458265139116204
лт,5,0.0020458265139116204
кз,5,0.0020458265139116204
ев,5,0.0020458265139116204
щт,5,0.0020458265139116204
жя,5,0.0020458265139116204
уя,5,0.0020458265139116204
цт,5,0.0020458265139116204
чц,5,0.0020458265139116204
гь,5,0.0020458265139116204
ьь,5,0.0020458265139116204
яа,5,0.0020458265139116204
ке,5,0.0020458265139116204
яо,5,0.0020458265139116204
йц,5,0.0020458265139116204
вз,5,0.0020458265139116204
юз,5,0.0020458265139116204
вь,5,0.0020458265139116204
кщ,5,0.0020458265139116204
но,5,0.0020458265139116204
юа,5,0.0020458265139116204
ич,5,0.0020458265139116204
иы,5,0.0020458265139116204
еы,5,0.0020458265139116204
жс,5,0.0020458265139116204
се,4,0.0016366612111292963
ыв,4,0.0016366612111292963
сж,4,0.0016366612111292963
сю,4,0.0016366612111292963
нм,4,0.0016366612111292963
пе,4,0.0016366612111292963
шс,4,0.0016366612111292963
ла,4,0.0016366612111292963
сз,4,0.0016366612111292963
ле,4,0.0016366612111292963
шы,4,0.0016366612111292963
зю,4,0.0016366612111292963
де,4,0.0016366612111292963
мв,4,0.0016366612111292963
шт,4,0.0016366612111292963
лн,4,0.0016366612111292963
ьн,4,0.0016366612111292963
йю,4,0.0016366612111292963
чы,4,0.0016366612111292963
ей,4,0.0016366612111292963
гм,4,0.0016366612111292963
чз,4,0.0016366612111292963
сб,4,0.0016366612111292963
кг,4,0.0016366612111292963
ук,4,0.0016366612111292963
рь,4,0.0016366612111292963
жц,4,0.0016366612111292963
лк,3,0.0012274959083469722
рх,3,0.0012274959083469722
мт,3,0.0012274959083469722
жй,3,0.0012274959083469722
рй,3,0.0012274959083469722
юы,3,0.0012274959083469722
нч,3,0.0012274959083469722
дс,3,0.0012274959083469722
ьа,3,0.0012274959083469722
шз,3,0.0012274959083469722
жм,3,0.0012274959083469722
ок,3,0.0012274959083469722
жв,3,0.0012274959083469722
кю,3,0.0012274959083469722
аь,3,0.0012274959083469722
тз,3,0.0012274959083469722
ст,3,0.0012274959083469722
вж,3,0.0012274959083469722
йк,3,0.0012274959083469722
пя,3,0.0012274959083469722
вц,3,0.0012274959083469722
щю,3,0.0012274959083469722
тф,3,0.0012274959083469722
ме,3,0.0012274959083469722
хь,3,0.0012274959083469722
тп,3,0.0012274959083469722
щщ,3,0.0012274959083469722
ее,3,0.0012274959083469722
цс,3,0.0012274959083469722
зн,3,0.0012274959083469722
ив,3,0.0012274959083469722
хч,3,0.0012274959083469722
зэ,3,0.0012274959083469722
нр,3,0.0012274959083469722
юц,3,0.0012274959083469722
шя,3,0.0012274959083469722
яп,3,0.0012274959083469722
хз,3,0.0012274959083469722
шр,3,0.0012274959083469722
ож,3,0.0012274959083469722
ге,3,0.0012274959083469722
нэ,2,0.0008183306055646482
тр,2,0.0008183306055646482
хт,2,0.0008183306055646482
гк,2,0.0008183306055646482
уы,2,0.0008183306055646482
лф,2,0.0008183306055646482
жэ,2,0.0008183306055646482
та,2,0.0008183306055646482
иф,2,0.0008183306055646482
кч,2,0.0008183306055646482
жз,2,0.0008183306055646482
кт,2,0.0008183306055646482
ня,2,0.0008183306055646482
ха,2,0.0008183306055646482
еа,2,0.0008183306055646482
гц,2,0.0008183306055646482
дп,2,0.0008183306055646482
ца,2,0.0008183306055646482
дд,2,0.0008183306055646482
ея,2,0.0008183306055646482
зм,2,0.0008183306055646482
зы,2,0.0008183306055646482
рз,2,0.0008183306055646482
ть,2,0.0008183306055646482
юн,2,0.0008183306055646482
уш,2,0.0008183306055646482
рк,2,0.0008183306055646482
чк,2,0.0008183306055646482
ао,2,0.0008183306055646482
же,2,0.0008183306055646482
нх,2,0.0008183306055646482
ыц,2,0.0008183306055646482
дй,2,0.0008183306055646482
кв,2,0.0008183306055646482
нн,2,0.0008183306055646482
дк,2,0.0008183306055646482
жш,2,0.0008183306055646482
вй,2,0.0008183306055646482
оэ,2,0.0008183306055646482
дч,2,0.0008183306055646482
пп,2,0.0008183306055646482
ог,2,0.0008183306055646482
лю,2,0.0008183306055646482
еь,2,0.0008183306055646482
ип,2,0.0008183306055646482
ол,2,0.0008183306055646482
ьз,2,0.0008183306055646482
тц,2,0.0008183306055646482
зо,2,0.0008183306055646482
ьв,2,0.0008183306055646482
зж,2,0.0008183306055646482
эв,2,0.0008183306055646482
мя,2,0.0008183306055646482
ьц,2,0.0008183306055646482
фж,2,0.0008183306055646482
чй,2,0.0008183306055646482
кь,2,0.0008183306055646482
кй,2,0.0008183306055646482
ез,2,0.0008183306055646482
ов,2,0.0008183306055646482
ещ,2,0.0008183306055646482
пй,2,0.0008183306055646482
гн,2,0.0008183306055646482
цн,2,0.0008183306055646482
йт,2,0.0008183306055646482
ну,2,0.0008183306055646482
сп,2,0.0008183306055646482
дэ,2,0.0008183306055646482
пл,2,0.0008183306055646482
йх,2,0.0008183306055646482
зь,2,0.0008183306055646482
юе,2,0.0008183306055646482
му,2,0.0008183306055646482
хн,2,0.0008183306055646482
щм,2,0.0008183306055646482
жа,2,0.0008183306055646482
гу,1,0.0004091653027823241
дт,1,0.0004091653027823241
ос,1,0.0004091653027823241
оя,1,0.0004091653027823241
фс,1,0.0004091653027823241
чв,1,0.0004091653027823241
тм,1,0.0004091653027823241
вп,1,0.0004091653027823241
хе,1,0.0004091653027823241
фы,1,0.0004091653027823241
ре,1,0.0004091653027823241
аы,1,0.0004091653027823241
ро,1,0.0004091653027823241
пэ,1,0.0004091653027823241
эе,1,0.0004091653027823241
ва,1,0.0004091653027823241
до,1,0.0004091653027823241
сд,1,0.0004091653027823241
тк,1,0.0004091653027823241
ак,1,0.0004091653027823241
еш,1,0.0004091653027823241
щж,1,0.0004091653027823241
сг,1,0.0004091653027823241
пр,1,0.0004091653027823241
нб,1,0.0004091653027823241
зч,1,0.0004091653027823241
эг,1,0.0004091653027823241
ьх,1,0.0004091653027823241
ем,1,0.0004091653027823241
ру,1,0.0004091653027823241
йу,1,0.0004091653027823241
кс,1,0.0004091653027823241
тх,1,0.0004091653027823241
бк,1,0.0004091653027823241
бр,1,0.0004091653027823241
юй,1,0.0004091653027823241
дз,1,0.0004091653027823241
то,1,0.0004091653027823241
ыэ,1,0.0004091653027823241
зз,1,0.0004091653027823241
гы,1,0.0004091653027823241
лы,1,0.0004091653027823241
иб,1,0.0004091653027823241
пы,1,0.0004091653027823241
фь,1,0.0004091653027823241
иэ,1,0.0004091653027823241
мк,1,0.0004091653027823241
пь,1,0.0004091653027823241
кд,1,0.0004091653027823241
юш,1,0.0004091653027823241
уц,1,0.0004091653027823241
рт,1,0.0004091653027823241
йн,1,0.0004091653027823241
йч,1,0.0004091653027823241
аа,1,0.0004091653027823241
ор,1,0.0004091653027823241
лл,1,0.0004091653027823241
чс,1,0.0004091653027823241
эы,1,0.0004091653027823241
ыо,1,0.0004091653027823241
щд,1,0.0004091653027823241
зс,1,0.0004091653027823241
ир,1,0.0004091653027823241
ко,1,0.0004091653027823241
яц,1,0.0004091653027823241
бэ,1,0.0004091653027823241
ие,1,0.0004091653027823241
ль,1,0.0004091653027823241
ий,1,0.0004091653027823241
са,1,0.0004091653027823241
ас,1,0.0004091653027823241
мы,1,0.0004091653027823241
зд,1,0.0004091653027823241
ам,1,0.0004091653027823241
хб,1,0.0004091653027823241
чь,1,0.0004091653027823241
зг,1,0.0004091653027823241
ьу,1,0.0004091653027823241
кэ,1,0.0004091653027823241
ры,1,0.0004091653027823241
цй,1,0.0004091653027823241
ьп,1,0.0004091653027823241
юв,1,0.0004091653027823241
яь,1,0.0004091653027823241
кп,1,0.0004091653027823241
гс,1,0.0004091653027823241
бь,1,0.0004091653027823241
шд,1,0.0004091653027823241
ню,1,0.0004091653027823241
лр,1,0.0004091653027823241
ши,1,0.0004091653027823241
ни,1,0.0004091653027823241
тя,1,0.0004091653027823241
гя,1,0.0004091653027823241
ющ,1,0.0004091653027823241
ыс,1,0.0004091653027823241
цы,1,0.0004091653027823241
юк,1,0.0004091653027823241
шм,1,0.0004091653027823241
ря,1,0.0004091653027823241
яе,1,0.0004091653027823241
го,1,0.0004091653027823241
аэ,1,0.0004091653027823241
лс,1,0.0004091653027823241
цп,1,0.0004091653027823241
фч,1,0.0004091653027823241
ио,1,0.0004091653027823241
тл,1,0.0004091653027823241
км,1,0.0004091653027823241
ян,1,0.0004091653027823241
ыу,1,0.0004091653027823241
им,1,0.0004091653027823241
бт,1,0.0004091653027823241
ед,1,0.0004091653027823241
уй,1,0.0004091653027823241
ны,1,0.0004091653027823241
сь,1,0.0004091653027823241
пк,1,0.0004091653027823241
дщ,1,0.0004091653027823241
оы,1,0.0004091653027823241
